"","Model","Mean","SD","Median"
"1","ENET.1se.cv",0.846575287356322,0.0627058813345352,0.833333333333333
"2","ENET.1se.matrix",0.540689655172414,0.00901187069408454,0.533333333333333
"3","ENET.min.cv",0.849300574712644,0.0616956873136046,0.862068965517241
"4","ENET.min.matrix",0.540689655172414,0.00901187069408454,0.533333333333333
"5","GLM_Full",0.847355747126437,0.0636454406069769,0.862068965517241
"6","GLM_step",0.85448275862069,0.0622193375713009,0.862068965517241
"7","KNN_1",0.710377011494253,0.0745525842909856,0.724137931034483
"8","KNN_11",0.81483908045977,0.0652615574064283,0.827586206896552
"9","KNN_13",0.827228735632184,0.0655918659678769,0.833333333333333
"10","KNN_15",0.827622988505747,0.065596568352586,0.833333333333333
"11","KNN_17",0.831762643678161,0.0668632072149238,0.833333333333333
"12","KNN_19",0.832335632183908,0.0656795240985066,0.833333333333333
"13","KNN_21",0.828981609195402,0.0657139965132484,0.833333333333333
"14","KNN_23",0.834368965517241,0.0644104259176138,0.833333333333333
"15","KNN_25",0.84338908045977,0.0630914156198461,0.833333333333333
"16","KNN_27",0.846037931034483,0.0627256471533821,0.862068965517241
"17","KNN_29",0.847587931034483,0.0625755317764023,0.862068965517241
"18","KNN_3",0.802765517241379,0.0642919654767094,0.8
"19","KNN_5",0.825674137931035,0.0657605570256402,0.827586206896552
"20","KNN_7",0.816739655172414,0.066285461717647,0.827586206896552
"21","KNN_9",0.815498275862069,0.0654002831130541,0.827586206896552
"22","LASSO.1se.cv",0.839488505747126,0.0643311183113306,0.833333333333333
"23","LASSO.1se.matrix",0.540689655172414,0.00901187069408454,0.533333333333333
"24","LASSO.min.cv",0.845896551724138,0.0628379824539034,0.862068965517241
"25","LASSO.min.matrix",0.540689655172414,0.00901187069408454,0.533333333333333
"26","Pruned_Tree",0.540689655172414,0.00901187069408454,0.533333333333333
"27","RF_sqrt",0.828627011494253,0.062930591820361,0.833333333333333
"28","RIDGE.1se.cv",0.846559770114943,0.0628767481970171,0.862068965517241
"29","RIDGE.1se.matrix",0.840266666666667,0.0624384531012305,0.833333333333333
"30","RIDGE.min.cv",0.849083908045977,0.0618008708077448,0.862068965517241
"31","RIDGE.min.matrix",0.838813793103448,0.0628844444015672,0.833333333333333
